,"uid","sn","cn","idmRole","aesPassword","team","dn","accountLock","email","email2","uidNumber","companyName","department","alignmentTypeA","alignmentTypeB","alignmentIDPW","alignmentAdminGate","gidNumber","objectClass","msSFU30Name","msSFU30NisDomain","unixHomeDirectory","loginShell"
"Create","c101249","土居","逸平","IDM_USER","","itk_gikai_oct","uid=c101249,ou=Users,DC=admin-gate,DC=local","false","c101249@netone.co.jp","c101249@netone.co.jp","25564","","","false","false","true","false","","user","c101249","VERI","/home/c101249","/bin/rbash"
"Create","c111110","c111110","名前","IDM_USER","","gikai","uid=c111110,ou=Users,DC=admin-gate,DC=local","false","c111110@netone.co.jp","c111110@netone.co.jp","25601","","","false","false","true","false","","user","c111110","VERI","/home/c111110","/bin/rbash"
"Create","c111111","大阪","太郎","IDM_USER","","gikai","uid=c111111,ou=Users,DC=admin-gate,DC=local","false","c111111@netone.co.jp","c111111@netone.co.jp","25565","","","false","false","true","false","","user","c111111","VERI","/home/c111111","/bin/rbash"
"Create","c111112","兵庫","次郎","IDM_USER","","gikai","uid=c111112,ou=Users,DC=admin-gate,DC=local","false","c111112@netone.co.jp","c111112@netone.co.jp","25572","","","false","false","true","false","","user","c111112","VERI","/home/c111112","/bin/rbash"
"Create","c111113","c111113","名前","IDM_USER","","gikai","uid=c111113,ou=Users,DC=admin-gate,DC=local","false","c111113@netone.co.jp","c111113@netone.co.jp","25573","","","false","false","true","false","","user","c111113","VERI","/home/c111113","/bin/rbash"
"Create","c111114","c111114","名前","IDM_USER","","gikai","uid=c111114,ou=Users,DC=admin-gate,DC=local","false","c111114@netone.co.jp","c111114@netone.co.jp","25574","","","false","false","true","false","","user","c111114","VERI","/home/c111114","/bin/rbash"
"Create","c111115","c111115","名前","IDM_USER","","gikai","uid=c111115,ou=Users,DC=admin-gate,DC=local","false","c111115@netone.co.jp","c111115@netone.co.jp","25575","","","false","false","true","false","","user","c111115","VERI","/home/c111115","/bin/rbash"
"Create","c111116","c111116","名前","IDM_USER","","gikai","uid=c111116,ou=Users,DC=admin-gate,DC=local","false","c111116@netone.co.jp","c111116@netone.co.jp","25576","","","false","false","true","false","","user","c111116","VERI","/home/c111116","/bin/rbash"
"Create","c111117","c111117","名前","IDM_USER","","gikai","uid=c111117,ou=Users,DC=admin-gate,DC=local","false","c111117@netone.co.jp","c111117@netone.co.jp","25577","","","false","false","true","false","","user","c111117","VERI","/home/c111117","/bin/rbash"
"Create","c111118","c111118","名前","IDM_USER","","gikai","uid=c111118,ou=Users,DC=admin-gate,DC=local","false","c111118@netone.co.jp","c111118@netone.co.jp","25578","","","false","false","true","false","","user","c111118","VERI","/home/c111118","/bin/rbash"
"Create","c111119","c111119","名前","IDM_USER","","gikai","uid=c111119,ou=Users,DC=admin-gate,DC=local","false","c111119@netone.co.jp","c111119@netone.co.jp","25579","","","false","false","true","false","","user","c111119","VERI","/home/c111119","/bin/rbash"
"Create","c111120","姓111120","名111120","IDM_USER","","gikai","uid=c111120,ou=Users,DC=admin-gate,DC=local","false","c111120@netone.co.jp","c111120@netone.co.jp","25580","","","false","false","true","false","","user","c111120","VERI","/home/c111120","/bin/rbash"
"Create","c111121","c111121","名前","IDM_USER","","gikai","uid=c111121,ou=Users,DC=admin-gate,DC=local","false","c111121@netone.co.jp","c111121@netone.co.jp","25581","","","false","false","true","false","","user","c111121","VERI","/home/c111121","/bin/rbash"
"Create","c111122","c111122","名前","IDM_USER","","gikai","uid=c111122,ou=Users,DC=admin-gate,DC=local","false","c111122@netone.co.jp","c111122@netone.co.jp","25582","","","false","false","true","false","","user","c111122","VERI","/home/c111122","/bin/rbash"
"Create","c111123","c111123","名前","IDM_USER","","gikai","uid=c111123,ou=Users,DC=admin-gate,DC=local","false","c111123@netone.co.jp","c111123@netone.co.jp","25583","","","false","false","true","false","","user","c111123","VERI","/home/c111123","/bin/rbash"
"Create","c111124","c111124","名前","IDM_USER","","gikai","uid=c111124,ou=Users,DC=admin-gate,DC=local","false","c111124@netone.co.jp","c111124@netone.co.jp","25584","","","false","false","true","false","","user","c111124","VERI","/home/c111124","/bin/rbash"
"Create","c111125","c111125","名前","IDM_USER","","gikai","uid=c111125,ou=Users,DC=admin-gate,DC=local","false","c111125@netone.co.jp","c111125@netone.co.jp","25585","","","false","false","true","false","","user","c111125","VERI","/home/c111125","/bin/rbash"
"Create","c111126","c111126","名前","IDM_USER","","gikai","uid=c111126,ou=Users,DC=admin-gate,DC=local","false","c111126@netone.co.jp","c111126@netone.co.jp","25586","","","false","false","true","false","","user","c111126","VERI","/home/c111126","/bin/rbash"
"Create","c111127","c111127","名前","IDM_USER","","gikai","uid=c111127,ou=Users,DC=admin-gate,DC=local","false","c111127@netone.co.jp","c111127@netone.co.jp","25587","","","false","false","true","false","","user","c111127","VERI","/home/c111127","/bin/rbash"
"Create","c111128","c111128","名前","IDM_USER","","gikai","uid=c111128,ou=Users,DC=admin-gate,DC=local","false","c111128@netone.co.jp","c111128@netone.co.jp","25588","","","false","false","true","false","","user","c111128","VERI","/home/c111128","/bin/rbash"
"Create","c111129","c111129","名前","IDM_USER","","gikai","uid=c111129,ou=Users,DC=admin-gate,DC=local","false","c111129@netone.co.jp","c111129@netone.co.jp","25589","","","false","false","true","false","","user","c111129","VERI","/home/c111129","/bin/rbash"
"Create","c111130","c111130","名前","IDM_USER","","gikai","uid=c111130,ou=Users,DC=admin-gate,DC=local","false","c111130@netone.co.jp","c111130@netone.co.jp","25590","","","false","false","true","false","","user","c111130","VERI","/home/c111130","/bin/rbash"
"Create","c111131","c111131","名前","IDM_USER","","gikai","uid=c111131,ou=Users,DC=admin-gate,DC=local","false","c111131@netone.co.jp","c111131@netone.co.jp","25591","","","false","false","true","false","","user","c111131","VERI","/home/c111131","/bin/rbash"
"Create","c111132","c111132","名前","IDM_USER","","gikai","uid=c111132,ou=Users,DC=admin-gate,DC=local","false","c111132@netone.co.jp","c111132@netone.co.jp","25592","","","false","false","true","false","","user","c111132","VERI","/home/c111132","/bin/rbash"
"Create","c111133","c111133","名前","IDM_USER","","gikai","uid=c111133,ou=Users,DC=admin-gate,DC=local","false","c111133@netone.co.jp","c111133@netone.co.jp","25593","","","false","false","true","false","","user","c111133","VERI","/home/c111133","/bin/rbash"
"Create","c111134","c111134","名前","IDM_USER","","gikai","uid=c111134,ou=Users,DC=admin-gate,DC=local","false","c111134@netone.co.jp","c111134@netone.co.jp","25594","","","false","false","true","false","","user","c111134","VERI","/home/c111134","/bin/rbash"
"Create","c111135","c111135","名前","IDM_USER","","gikai","uid=c111135,ou=Users,DC=admin-gate,DC=local","false","c111135@netone.co.jp","c111135@netone.co.jp","25595","","","false","false","true","false","","user","c111135","VERI","/home/c111135","/bin/rbash"
"Create","c111136","c111136","名前","IDM_USER","","gikai","uid=c111136,ou=Users,DC=admin-gate,DC=local","false","c111136@netone.co.jp","c111136@netone.co.jp","25596","","","false","false","true","false","","user","c111136","VERI","/home/c111136","/bin/rbash"
"Create","c111137","c111137","名前","IDM_USER","","gikai","uid=c111137,ou=Users,DC=admin-gate,DC=local","false","c111137@netone.co.jp","c111137@netone.co.jp","25597","","","false","false","true","false","","user","c111137","VERI","/home/c111137","/bin/rbash"
"Create","c111138","c111138","名前","IDM_USER","","gikai","uid=c111138,ou=Users,DC=admin-gate,DC=local","false","c111138@netone.co.jp","c111138@netone.co.jp","25598","","","false","false","true","false","","user","c111138","VERI","/home/c111138","/bin/rbash"
"Create","c111139","c111139","名前","IDM_USER","","gikai","uid=c111139,ou=Users,DC=admin-gate,DC=local","false","c111139@netone.co.jp","c111139@netone.co.jp","25599","","","false","false","true","false","","user","c111139","VERI","/home/c111139","/bin/rbash"
"Create","c222222","テスト２","ユーザー２","IDM_USER","","gikai","uid=c222222,ou=Users,DC=admin-gate,DC=local","false","c222222@netone.co.jp","c222222@netone.co.jp","25566","","","false","false","true","false","","user","c222222","VERI","/home/c222222","/bin/rbash"
"Create","c888888","c888888","名前","IDM_USER","","gikai","uid=c888888,ou=Users,DC=admin-gate,DC=local","false","c888888@netone.co.jp","c888888@netone.co.jp","25571","","","false","false","true","false","","user","c888888","VERI","/home/c888888","/bin/rbash"
"Create","c905291","吉田","岳史","IDM_USER","","itk_gikai_oct","uid=c905291,ou=Users,DC=admin-gate,DC=local","false","c905291@netone.co.jp","c905291@netone.co.jp","905291","","","false","false","true","false","","user","c905291","VERI","/home/c905291","/bin/rbash"
"Create","c919146","三崎","真治","IDM_USER","","itk_gikai_oct","uid=c919146,ou=Users,DC=admin-gate,DC=local","false","c919146@netone.co.jp","c919146@netone.co.jp","22105","","","false","false","true","false","","user","c919146","VERI","/home/c919146","/bin/rbash"
"Create","c943608","中野","勇気","IDM_USER","","itk_gikai_oct","uid=c943608,ou=Users,DC=admin-gate,DC=local","false","c943608@netone.co.jp","c943608@netone.co.jp","22406","","","false","false","true","false","","user","c943608","VERI","/home/c943608","/bin/rbash"
"Create","c999999","c999999","名前","IDM_USER","","gikai","uid=c999999,ou=Users,DC=admin-gate,DC=local","false","c999999@netone.co.jp","c999999@netone.co.jp","25570","","","false","false","true","false","","user","c999999","VERI","/home/c999999","/bin/rbash"
"Create","k303150","栗田","至健","IDM_USER","","gikai","uid=k303150,ou=Users,DC=admin-gate,DC=local","false","k303150@netone.co.jp","k303150@netone.co.jp","20091","","","false","false","true","false","","user","k303150","VERI","/home/k303150","/bin/rbash"
"Create","k303256","谷垣","龍男","IDM_USER","","nw_keikaku","uid=k303256,ou=Users,DC=admin-gate,DC=local","false","k303256@netone.co.jp","k303256@netone.co.jp","20339","","","false","false","true","false","","user","k303256","VERI","/home/k303256","/bin/rbash"
"Create","k307005","木村","周作","IDM_USER","","gikai","uid=k307005,ou=Users,DC=admin-gate,DC=local","false","k307005@netone.co.jp","k307005@netone.co.jp","20342","","","false","false","true","false","","user","k307005","VERI","/home/k307005","/bin/rbash"
"Create","k310024","武内","伸樹","IDM_USER","","gikai","uid=k310024,ou=Users,DC=admin-gate,DC=local","false","k310024@netone.co.jp","k310024@netone.co.jp","21090","","","false","false","true","false","","user","k310024","VERI","/home/k310024","/bin/rbash"
"Create","k315035","東","篤功","IDM_USER","","gikai","uid=k315035,ou=Users,DC=admin-gate,DC=local","false","k315035@netone.co.jp","k315035@netone.co.jp","23140","","","false","false","true","false","","user","k315035","VERI","/home/k315035","/bin/rbash"
"Create","k318095","松木","浩平","IDM_USER","","gikai","uid=k318095,ou=Users,DC=admin-gate,DC=local","false","k318095@netone.co.jp","k318095@netone.co.jp","23164","","","false","false","true","false","","user","k318095","VERI","/home/k318095","/bin/rbash"
"Create","k333333","テスト３","ユーザー３","IDM_USER","","denso","uid=k333333,ou=Users,DC=admin-gate,DC=local","false","k333333@netone.co.jp","k333333@netone.co.jp","25561","","","false","false","true","false","","user","k333333","VERI","/home/k333333","/bin/rbash"
"Create","k503344","平松","耕太郎","IDM_USER","","nw_keikaku","uid=k503344,ou=Users,DC=admin-gate,DC=local","false","k503344@netone.co.jp","k503344@netone.co.jp","20341","","","false","false","true","false","","user","k503344","VERI","/home/k503344","/bin/rbash"
